year,video_count,keyword,source,video_count_lg1,ch_category,time
2007,0.0,_아이폰,t,,가전제품,2007-01-01
2008,0.0,_아이폰,t,0.0,가전제품,2008-01-01
2009,0.0,_아이폰,t,0.0,가전제품,2009-01-01
2010,0.0,_아이폰,t,0.0,가전제품,2010-01-01
2011,1.0,_아이폰,t,0.0,가전제품,2011-01-01
2012,0.0,_아이폰,t,1.0,가전제품,2012-01-01
2013,0.0,_아이폰,t,0.0,가전제품,2013-01-01
2014,0.0,_아이폰,t,0.0,가전제품,2014-01-01
2015,0.0,_아이폰,t,0.0,가전제품,2015-01-01
2016,0.0,_아이폰,t,0.0,가전제품,2016-01-01
2017,9.0,_아이폰,t,0.0,가전제품,2017-01-01
2018,65.0,_아이폰,t,9.0,가전제품,2018-01-01
2019,69.0,_아이폰,t,65.0,가전제품,2019-01-01
2020,62.0,_아이폰,t,69.0,가전제품,2020-01-01
2021,11.0,_아이폰,t,62.0,가전제품,2021-01-01
2007,0.0,_갤럭시,t,,가전제품,2007-01-01
2008,0.0,_갤럭시,t,0.0,가전제품,2008-01-01
2009,0.0,_갤럭시,t,0.0,가전제품,2009-01-01
2010,0.0,_갤럭시,t,0.0,가전제품,2010-01-01
2011,2.0,_갤럭시,t,0.0,가전제품,2011-01-01
2012,0.0,_갤럭시,t,2.0,가전제품,2012-01-01
2013,1.0,_갤럭시,t,0.0,가전제품,2013-01-01
2014,0.0,_갤럭시,t,1.0,가전제품,2014-01-01
2015,0.0,_갤럭시,t,0.0,가전제품,2015-01-01
2016,0.0,_갤럭시,t,0.0,가전제품,2016-01-01
2017,4.0,_갤럭시,t,0.0,가전제품,2017-01-01
2018,39.0,_갤럭시,t,4.0,가전제품,2018-01-01
2019,87.0,_갤럭시,t,39.0,가전제품,2019-01-01
2020,106.0,_갤럭시,t,87.0,가전제품,2020-01-01
2021,22.0,_갤럭시,t,106.0,가전제품,2021-01-01
2007,0.0,_컴퓨터,t,,가전제품,2007-01-01
2008,0.0,_컴퓨터,t,0.0,가전제품,2008-01-01
2009,0.0,_컴퓨터,t,0.0,가전제품,2009-01-01
2010,0.0,_컴퓨터,t,0.0,가전제품,2010-01-01
2011,0.0,_컴퓨터,t,0.0,가전제품,2011-01-01
2012,0.0,_컴퓨터,t,0.0,가전제품,2012-01-01
2013,0.0,_컴퓨터,t,0.0,가전제품,2013-01-01
2014,0.0,_컴퓨터,t,0.0,가전제품,2014-01-01
2015,0.0,_컴퓨터,t,0.0,가전제품,2015-01-01
2016,0.0,_컴퓨터,t,0.0,가전제품,2016-01-01
2017,0.0,_컴퓨터,t,0.0,가전제품,2017-01-01
2018,7.0,_컴퓨터,t,0.0,가전제품,2018-01-01
2019,40.0,_컴퓨터,t,7.0,가전제품,2019-01-01
2020,105.0,_컴퓨터,t,40.0,가전제품,2020-01-01
2021,27.0,_컴퓨터,t,105.0,가전제품,2021-01-01
2007,0.0,_쿠쿠,t,,가전제품,2007-01-01
2008,0.0,_쿠쿠,t,0.0,가전제품,2008-01-01
2009,0.0,_쿠쿠,t,0.0,가전제품,2009-01-01
2010,0.0,_쿠쿠,t,0.0,가전제품,2010-01-01
2011,0.0,_쿠쿠,t,0.0,가전제품,2011-01-01
2012,0.0,_쿠쿠,t,0.0,가전제품,2012-01-01
2013,0.0,_쿠쿠,t,0.0,가전제품,2013-01-01
2014,0.0,_쿠쿠,t,0.0,가전제품,2014-01-01
2015,0.0,_쿠쿠,t,0.0,가전제품,2015-01-01
2016,0.0,_쿠쿠,t,0.0,가전제품,2016-01-01
2017,0.0,_쿠쿠,t,0.0,가전제품,2017-01-01
